seed,label,delay,capacity
64001,collective,11,0.711893364485473
64001,collective,12,0.6116817048281756
64001,collective,13,0.5813174699356605
64001,collective,14,0.3876143384482264
64001,collective,15,0.4178670131165829
64001,collective,16,0.31053445045929096
64001,collective,17,0.2632579322709723
64001,collective,18,0.18800374738028966
64001,collective,19,0.1235880062355074
64001,collective,20,0.043855817512400835
64001,local_fixed,1,0.9998714342546835
64001,local_fixed,2,0.9994814738127931
64001,local_fixed,3,0.9972152534449485
64001,local_fixed,4,0.9915005565433724
64001,local_fixed,5,0.9783165392602253
64001,local_fixed,6,0.9465696537069156
64001,local_fixed,7,0.8636870344958346
64001,local_fixed,8,0.5583880689134938
64001,local_fixed,9,0.48099097830938287
64001,local_fixed,10,0.28303932708780827
64001,local_fixed,11,0.19380725024978757
64001,local_fixed,12,0.1842797637665873
64001,local_fixed,13,0.10137227431392846
64001,local_fixed,14,0.08011997792412377
64001,local_fixed,15,0.08128513872851918
64001,local_fixed,16,0.037292477980326554
64001,local_fixed,17,0.031705523585393865
64001,local_fixed,18,0.005946771254696814
64001,local_fixed,19,0.007372494245873306
64001,local_fixed,20,9.082284270632764e-05
64001,local_gap_matched,1,0.9993885004127862
64001,local_gap_matched,2,0.9967421837731288
64001,local_gap_matched,3,0.9945180465209815
64001,local_gap_matched,4,0.9921278794172748
64001,local_gap_matched,5,0.9593768503018222
64001,local_gap_matched,6,0.9556403015028079
64001,local_gap_matched,7,0.9405996118979193
64001,local_gap_matched,8,0.8195424055927594
64001,local_gap_matched,9,0.7122020034762037
64001,local_gap_matched,10,0.6955901921115208
64001,local_gap_matched,11,0.43531762324122036
64001,local_gap_matched,12,0.305363755501454
64001,local_gap_matched,13,0.2228102463911337
64001,local_gap_matched,14,0.2237400436012073
64001,local_gap_matched,15,0.1841571464014645
64001,local_gap_matched,16,0.06801828211332069
64001,local_gap_matched,17,0.022353146142586263
64001,local_gap_matched,18,0.022262963479006272
64001,local_gap_matched,19,0.0070967670261566215
64001,local_gap_matched,20,0.008722661440972924
64002,collective,1,0.9997097470385138
64002,collective,2,0.9979612802234932
64002,collective,3,0.9905928802872205
64002,collective,4,0.9710818172817552
64002,collective,5,0.9331676412742311
64002,collective,6,0.892657014361113
64002,collective,7,0.8409643370745638
64002,collective,8,0.7706202288959384
64002,collective,9,0.7147801668777836
64002,collective,10,0.6437174369461754
64002,collective,11,0.5452792999101301
64002,collective,12,0.5045021002762823
64002,collective,13,0.38223741159871844
64002,collective,14,0.3970647895851039
64002,collective,15,0.394677629263368
64002,collective,16,0.29007263461632077
64002,collective,17,0.235434632205747
64002,collective,18,0.20688635528228586
64002,collective,19,0.14575891315207382
64002,collective,20,0.10108138599288291
64002,local_fixed,1,0.9998376243827052
64002,local_fixed,2,0.9987159415785809
64002,local_fixed,3,0.9973686198167284
64002,local_fixed,4,0.9946664617550479
64002,local_fixed,5,0.976935213234374
64002,local_fixed,6,0.9474444839703781
64002,local_fixed,7,0.9048409302649981
64002,local_fixed,8,0.7509144693181948
64002,local_fixed,9,0.5101964940755093
64002,local_fixed,10,0.34162143083351637
64002,local_fixed,11,0.2654524401858271
64002,local_fixed,12,0.14697137805778762
64002,local_fixed,13,0.0930856362665162
64002,local_fixed,14,0.05551423980905423
64002,local_fixed,15,0.05290378460267128
64002,local_fixed,16,0.021251400874606925
64002,local_fixed,17,0.023174185954171096
64002,local_fixed,18,0.013011609995549848
64002,local_fixed,19,0.000417074880518516
64002,local_fixed,20,0.007426533988150749
64002,local_gap_matched,1,0.9921970175431174
64002,local_gap_matched,2,0.9654085828978887
64002,local_gap_matched,3,0.9642703811447753
64002,local_gap_matched,4,0.9618432241474517
